agc,ra/deg,dec/deg,v50/km/s,verr/kms/s,/kms/s,logMHI/Msol
4721,135.0366666675546,16.92972158675548,6254.0,1.0,6534.14,9.94464
181217,135.0420833343524,7.723055587499402,8688.0,14.0,8985.94,9.94111
191807,135.0520833345945,17.58527841360774,3831.0,2.0,4109.64,9.21691
181216,135.0595833347761,17.41249961883295,6125.0,1.0,6404.08,9.85462
4724,135.1362500032992,17.37916679412592,3869.0,1.0,4148.41,9.44001
192860,135.1466666702181,4.369166793883778,8113.0,4.0,8415.89,9.58508
4729,135.174166670884,17.62277790508233,3910.0,5.0,4188.96,9.56351
193789,135.2608295188984,11.54777822317556,4212.0,4.0,4504.21,8.93843
4732,135.2624961856054,11.09527746017557,2076.0,5.0,2369.05,9.13596
180584,135.2879128528876,13.04694488982204,8903.0,2.0,9192.4,9.87348
192862,135.3033295199275,4.728333365404978,10121.0,3.0,10424.0,9.82168
4733,135.3166628535837,4.114999904995784,8432.0,4.0,8735.79,9.99577
180586,135.357079521229,10.19777784170583,11043.0,2.0,11338.0,10.1131
198450,135.3770795217133,6.285555523820221,9740.0,8.0,10041.2,9.71068
198346,135.3999961889349,11.32277771434747,4264.0,3.0,4557.09,8.77733
4738,135.4233295228333,11.08305549237411,5745.0,1.0,6038.61,10.0326
193575,135.4320795230451,0.5180555992992595,5557.0,2.0,5864.87,9.49016
198378,135.4429128566408,8.717222730861977,3947.0,5.0,4244.75,8.83514
180589,135.4441628566711,12.9827782867942,8768.0,2.0,9058.05,10.1711
738967,135.4449961900246,17.79111060267314,3899.0,9.0,4178.44,8.79306
191908,135.4716628573369,10.26166666694917,11113.0,2.0,11408.2,10.0539
193380,135.479996190872,1.170833293697797,5790.0,26.0,6097.45,9.52626
198317,135.4874961910537,13.76166666694917,8871.0,3.0,9159.61,9.30453
192772,135.5100066759623,4.981388921034522,10062.0,3.0,10365.4,9.90887
192980,135.5170900094672,3.833889047848061,8428.0,31.0,8732.8,9.60943
4741,135.5316733431537,8.29805600096006,2582.0,3.0,2880.72,8.9663
4743,135.5712566774455,16.84750063612591,3827.0,3.0,4109.09,9.61941
180592,135.5841733444249,14.46416647627484,8993.0,29.0,9280.46,10.1647
198318,135.5958400113741,12.99888914357871,5134.0,5.0,5424.52,9.2678
198319,135.6600066795945,13.11416704847943,5169.0,6.0,5459.51,9.11515
180596,135.6687566798064,10.83944412670098,5833.0,4.0,6127.88,9.76563
180595,135.6708400131902,13.10416704823729,4972.0,3.0,5262.56,9.96052
198320,135.6816733467859,13.55388907971792,8981.0,16.0,9270.69,9.68421
193587,135.7862528619007,0.8650000242050737,3826.0,4.0,4134.78,9.20027
190007,135.7937528620823,10.15277739637531,8891.0,2.0,9187.52,9.87771
190012,135.843752863293,13.5066666668281,8359.0,2.0,8649.32,9.63132
738979,135.9058361981297,17.0297219682252,4252.0,3.0,4534.76,8.83376
190017,135.9187528651091,3.370555682806298,3739.0,2.0,4045.7,9.34295
198307,135.9458361990983,12.734722476569,5031.0,1.0,5323.21,9.22757
193845,135.9608361994615,13.86250038177241,8413.0,3.0,8702.97,9.80169
193846,135.9912528668646,14.57472215883899,4445.0,3.0,4733.56,9.22808
193778,136.0608323811321,13.48555580992252,9041.0,2.0,9332.08,9.37764
193848,136.1612490502302,13.11611149297096,9247.0,6.0,9539.16,9.95469
191064,136.1724990505026,5.510833333595656,10003.0,22.0,10307.9,10.0135
191915,136.19083238428,10.05611130199395,5789.0,10.0,6087.01,9.292
193790,136.2387490521069,10.1802780959988,5430.0,7.0,5727.95,9.15205
193849,136.2441657189047,15.84305523789953,11988.0,2.0,12274.6,10.1431
192776,136.2966618994251,5.868333460530266,3887.0,1.0,4191.87,9.23197
192294,136.3170785665862,9.511944444733672,9067.0,2.0,9366.37,9.73889
193850,136.3554119008477,13.63666653959081,8489.0,2.0,8780.73,9.73023
198347,136.3999952352606,9.266666412353516,2473.0,4.0,2773.05,8.77991
717260,136.5633390569128,17.76472222257871,8496.0,3.0,8779.11,9.46633
198427,136.6350057253148,5.188611174817197,3892.0,5.0,4198.9,8.93239
4781,136.6462557255873,6.300833524088375,1440.0,1.0,1745.43,9.41407
192464,136.6854223932023,8.352500381530263,9506.0,11.0,9808.49,9.8772
193851,136.7287557275849,13.56166685768403,8763.0,5.0,9056.09,9.90318
191071,136.7358390610898,3.186388952541165,8043.0,3.0,8352.64,9.74294
717273,136.7404223945341,17.9686116197845,8595.0,3.0,8878.17,9.94581
192296,136.7625019076513,9.733056064578705,5410.0,3.0,5710.45,9.24822
191809,136.8066685753875,17.83916730259079,4269.0,6.0,4552.69,9.08113
193794,136.8191685756902,16.01749974570703,6049.0,1.0,6337.04,9.68003
198428,136.8320852426695,5.909722317825072,5384.0,7.0,5690.58,9.16525
193852,136.8516685764771,14.69944450841285,8357.0,5.0,8648.08,9.91737
193787,136.8662519101635,15.42527809587773,3815.0,2.0,4104.53,8.92952
192555,136.8741685770219,7.784722190466709,13968.0,24.0,14272.0,10.1338
198588,136.9070852444856,17.95916742982809,6235.0,2.0,6518.71,9.27392
193791,136.9350019118283,12.05722241313197,8918.0,2.0,9214.76,9.72136
191076,136.9733352460899,3.276111095445231,8035.0,2.0,8345.32,9.72609
193169,136.9879185797763,2.274722206522711,7785.0,3.0,8096.45,9.63827
198589,137.026248093287,17.93583435064647,8266.0,8.0,8550.14,9.49023
4797,137.0474980938015,5.929444285808131,1309.0,1.0,1616.26,8.87986
192558,137.0870814280933,6.946666730567813,1571.0,5.0,1876.95,7.79691
