# group_id gra gdec area
1 194.80715229 27.92766501 0.995402298851
2 240.54198199 16.1237316 1.0
4 241.40029673 17.85792587 0.674418604651
5 176.06469653 20.01727248 1.0
6 167.6171258 28.38934327 1.0
7 351.21869739 14.58005088 1.0
9 223.26066183 16.82551669 1.0
11 216.81364734 16.83316445 0.982456140351
14 181.10636734 20.46206748 1.0
15 241.37552407 16.16412555 1.0
16 228.07063543 7.45385157 1.0
19 220.11966165 3.5078656 0.989690721649
21 230.91009622 8.66854612 0.917647058824
22 18.75420463 0.31127036 1.0
28 169.11620794 29.25454691 1.0
34 223.6236614 18.62112337 1.0
37 229.55897837 4.66990896 1.0
46 164.66613708 1.56179506 1.0
49 229.20435033 7.05237176 1.0
52 229.88589951 20.86809394 0.923076923077
58 181.16309141 1.8533363 0.915662650602
61 230.41477065 7.67802294 1.0
71 181.65383097 28.13884542 0.949367088608
72 178.14791339 20.75420556 0.988505747126
77 182.05860605 25.26436672 1.0
80 333.67576892 13.7652949 0.763636363636
81 228.05321175 4.50256302 1.0
83 208.31310206 25.01630828 0.986842105263
86 202.36467028 11.55060939 1.0
91 155.35347454 23.97908073 0.777777777778
100 233.16923545 4.71626819 1.0
101 231.02704503 20.75045936 1.0
102 18.24272548 15.45932072 1.0
109 139.03624787 17.59610899 1.0
110 218.51717806 3.74436444 1.0
111 139.38129183 20.07148748 1.0
112 221.86457673 13.63274373 1.0
118 168.83648286 25.88949895 1.0
129 214.24951481 10.84980954 0.942307692308
135 228.11519528 1.89239762 1.0
143 156.27613604 17.11737793 1.0
148 201.04571116 13.94776935 1.0
156 214.63408309 7.39848588 1.0
163 232.2780658 7.60748885 1.0
165 216.07336988 26.35197713 1.0
170 210.59678616 9.23322319 1.0
180 156.79714507 11.02323053 0.972222222222
182 203.31671153 7.3567412 0.952380952381
190 138.53232123 29.90821457 0.925
191 230.03005705 25.74461519 0.944444444444
194 240.85764601 14.76995345 1.0
203 221.7787277 11.45865406 1.0
209 235.37378801 28.21599179 1.0
210 216.9672138 11.39875249 1.0
217 204.98224852 4.82816014 1.0
223 233.93788226 25.30536165 1.0
225 121.00566766 10.0689503 0.975609756098
228 162.447915 0.35521372 0.965517241379
231 222.15585298 11.26146519 1.0
235 183.83941208 23.9894734 0.969230769231
248 227.05080839 20.34450211 1.0
253 191.25706231 1.77275262 0.35
265 207.08446592 25.68865054 1.0
268 135.98410972 13.59136562 1.0
274 161.1765648 14.13569374 0.928571428571
284 217.47915275 7.21463499 1.0
287 235.74200741 8.19021465 1.0
289 155.76459626 13.02221402 1.0
306 118.54953332 14.58629172 1.0
311 155.63475051 15.78926017 1.0
320 233.84806493 27.30488699 0.965517241379
321 129.50121964 25.06947333 1.0
322 188.94643341 26.90221793 1.0
328 223.41393263 3.10440293 1.0
347 141.95363752 29.99071702 0.734693877551
361 224.10896619 9.36378752 0.964285714286
363 242.04387183 28.47565133 1.0
368 241.84872688 13.96526958 1.0
373 217.54871612 0.276589 1.0
396 175.86416281 26.49414855 1.0
402 229.75693106 4.32670323 1.0
410 123.20191675 16.9533712 1.0
